Name,Followers,Stance,Sex,Handle,Tweets,Responses,std,Max.responses,Min.respos,Ave.Response,Resp.Freq,deleted,closed,protected,suspended,Conv.0,Conv.1,Conv.2,Conv.3,Conv.4,Conv.5,Conv.6,Conv.7,Conv.8,Conv.9,Conv.10,Conv.11,Conv.12,Conv.13,Conv.14,Conv.15,Conv.16,Conv.17,Conv.18,Conv.19,Conv.20,Conv.21,Conv.22,Conv.23,Conv.24,Conv.25,Conv.26,Conv.27,Conv.28,Conv.29,Conv.30,Conv.31,Conv.32,Conv.33,Conv.34,Conv.35,Conv.36,Conv.37,Conv.38,Conv.39,Conv.40,Conv.41,Conv.42,Conv.43,Conv.44,Conv.45,Conv.46,Conv.47,Conv.48,Conv.49,Conv.50,Conv.51,Conv.52,Conv.53,Conv.54,Conv.55,Conv.56,Conv.57,Conv.58,Conv.59,Conv.60,Conv.61,Conv.62,Conv.63,Conv.64,Conv.65,Conv.66,Conv.67,Conv.68,Conv.69,Conv.70,Conv.71,Conv.72,Conv.73,Conv.74
Michelle Malkin,2163025,conservative,female,michellemalkin,37,1750,38.12,99,1,47.30,99:9,78,42,16,18,0,0,1,4,0,0,0,7,2,0,4,0,1,2,0,3,0,1,0,0,6,0,0,2,3,0,2,3,0,2,1,0,6,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Harris-Perry,695384,liberal,female,mharrisperry,44,94,4.75,24,0,2.14,1:20,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mika Brzezinski,729694,liberal,female,morningmika,47,3953,23.25,99,19,84.11,99:30,176,91,17,68,1,3,3,2,5,2,3,2,3,0,6,0,1,4,2,12,2,6,3,9,9,3,7,1,1,1,0,3,3,2,6,2,1,4,3,3,2,6,2,7,3,4,5,5,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shepard Smith,214237,liberal,male,ShepNewsTeam,65,1641,25.29,99,2,25.25,7:6,78,22,17,37,0,0,4,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,1,0,3,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3,1,1,18,0,0,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,,,,,,,,,,
Chris Cuomo,1260446,liberal,male,chriscuomo,42,1434,32.73,99,0,34.14,99:5,65,28,18,18,0,0,1,0,0,1,2,0,0,1,3,0,1,3,1,1,0,0,3,0,4,0,0,1,0,1,2,0,0,0,4,0,3,1,0,7,0,0,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jemele Hill,760624,liberal,female,jemelehill,32,2402,30.68,99,5,75.06,99:17,133,75,13,45,11,0,0,3,6,6,3,5,3,6,3,1,3,13,2,0,1,3,2,5,11,4,2,5,2,3,0,2,1,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Greenwald,907673,liberal,male,ggreenwald,16,1046,34.63,99,4,65.38,99:6,75,55,9,11,12,3,9,2,6,4,0,2,13,0,0,2,0,0,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Bolling,781012,conservative,male,ericbolling,54,4989,14.36,99,51,92.39,99:42,218,119,31,62,5,0,6,1,0,3,17,3,1,1,1,4,3,0,1,3,4,2,2,5,4,4,2,1,1,7,12,4,2,3,5,4,3,2,3,2,4,2,3,2,1,2,1,6,2,5,4,0,4,2,5,6,1,10,,,,,,,,,,,,,,,,,,,,,
Robert Costa,330983,neutral,male,costareports,24,763,35.54,99,2,31.79,99:5,27,15,2,9,0,0,2,0,0,2,1,0,0,7,0,0,0,0,0,0,0,2,2,6,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy Noonan,161822,conservative,female,Peggynoonannyc,18,369,27.29,99,0,20.50,4:4,21,8,8,5,0,0,2,0,0,0,6,2,0,0,0,0,0,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavis Smiley,346337,liberal,male,tavissmiley,61,55,1.73,12,0,0.90,0:33,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bill Hemmer,300585,conservative,male,billhemmer,36,766,19.70,99,0,21.28,10:3,71,14,2,54,2,0,1,1,0,0,0,45,2,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,1,1,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Obama,9135140,liberal,female,michelleobama,43,4174,7.40,99,63,97.07,99:40,161,86,32,40,1,10,3,8,1,2,6,4,4,3,1,2,1,1,0,7,0,1,1,0,1,2,6,0,3,1,6,1,1,3,0,1,4,5,4,1,4,3,3,3,2,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
