term,freq,category
jews,9453,combined
rt,6234,combined
whitegenocide,2523,combined
fucking,2030,combined
white,1369,combined
like,1150,combined
people,1019,combined
just,923,combined
amp,848,combined
whitelivesmatter,791,combined
don,728,combined
hitler,726,combined
israel,724,combined
did,646,combined
rape,635,combined
feminist,603,combined
muslims,577,combined
know,532,combined
god,503,combined
hate,500,combined
kill,495,combined
feminists,461,combined
whitepower,452,combined
want,438,combined
bitch,424,combined
jesus,422,combined
say,410,combined
world,410,combined
muslim,407,combined
think,406,combined
said,402,combined
black,375,combined
fuck,373,combined
right,361,combined
women,357,combined
whites,352,combined
anti,350,combined
cunt,336,combined
shit,314,combined
stop,312,combined
man,306,combined
men,303,combined
time,303,combined
killed,302,combined
christians,295,combined
love,294,combined
racist,293,combined
diversity,291,combined
good,278,combined
let,274,combined
