term,freq,category
jews_h,2052,harassment
rt_h,1443,harassment
fucking_h,692,harassment
whitegenocide_h,668,harassment
white_h,451,harassment
like_h,316,harassment
cunt_h,279,harassment
people_h,267,harassment
just_h,229,harassment
muslims_h,222,harassment
fuck_h,211,harassment
hitler_h,197,harassment
kill_h,194,harassment
amp_h,193,harassment
hate_h,186,harassment
don_h,180,harassment
bitch_h,179,harassment
muslim_h,178,harassment
nigger_h,176,harassment
did_h,158,harassment
israel_h,153,harassment
whitelivesmatter_h,151,harassment
want_h,149,harassment
feminist_h,141,harassment
rape_h,140,harassment
whites_h,129,harassment
whitepower_h,127,harassment
world_h,119,harassment
black_h,117,harassment
know_h,114,harassment
feminists_h,112,harassment
shit_h,107,harassment
anti_h,107,harassment
diversity_h,98,harassment
god_h,95,harassment
racist_h,93,harassment
think_h,91,harassment
killed_h,90,harassment
said_h,90,harassment
stop_h,88,harassment
say_h,87,harassment
ass_h,86,harassment
man_h,86,harassment
right_h,85,harassment
women_h,83,harassment
gas_h,82,harassment
need_h,81,harassment
cunts_h,79,harassment
let_h,78,harassment
make_h,73,harassment
